# To Value|From Value
LINYA|LIN
LINZEL|LIN
LYNDON|LIN
LILLIAN|LIS
LISA|LIS
ELIZABETH|LIZ
LEWIS|LOU
LOUIS|LOU
LOUISE|LOU
LUELLA|LOU
LUANN|LUA
LOUIS|LUI
LY|LYE
CAROLYN|LYN
LYNDA|LYN
LYNDALL|LYN
LYNDELL|LYN
LYNDON|LYN
LYNELL|LYN
LYNETTE|LYN
MARILYN|LYN
LISA|LYS
LISA|LYZ
MABEL|MAB
MARGARET|MAG
MARIA|MAI
MALCOLM|MAL
MATHEW|MAT
MATTHEW|MAT
MAXIMILIAN|MAX
MAXINE|MAX
MAXWELL|MAX
MAYNARD|MAY
MARGARET|MEG
MEGAN|MEG
MELANIE|MEL
MELISSA|MEL
MICHALE|MIC
MICHEAL|MIC
MICKEL|MIC
MICKEY|MIC
MICKI|MIC
MICKIE|MIC
MIKAEL|MIK
MIKAIL|MIK
MIKAL|MIK
MIKEAL|MIK
MIKEL|MIK
MIKELL|MIK
MIKHAEL|MIK
MIKHAIL|MIK
MIKKI|MIK
MILDRED|MIL
MOSES|MOE
MONICA|MON
ANNETTE|NAN
NANCI|NAN
NANCIE|NAN
NANCY|NAN
NANETTE|NAN
NANNETTE|NAN
NATALIE|NAT
NATHAN|NAT
NATHANIEL|NAT
NATHON|NAT
EDWARD|NED
LYNELL|NEL
NY|NYE
OAKLEY|OAK
OLAV|OLE
ORLANDO|OLO
AURORA|ORA
AURORA|ORI
PAMELA|PAM
PATIENCE|PAT
PATRIA|PAT
PATRICE|PAT
PATRICIA|PAT
PATRICIANA|PAT
PATRICK|PAT
PATRINA|PAT
PATRISA|PAT
PATRISIA|PAT
MARGARET|PEG
PEGGY|PEG
PENELOPE|PEN
PY|PYE
RAYMOND|RAM
TANNER|RAN
RACHEL|RAY
RAYMOND|RAY
ROBERT|RBT
ANDREA|REA
REBECCA|REB
RACHEL|REY
RAYMOND|REY
REYNOLD|REY
RO|RHO
MARIA|RIA
ERIC|RIC
RICARDO|RIC
RICHARD|RIC
RICHARDO|RIC
RICK|RIC
RICO|RIC
RICHARD|RIK
ROBERT|ROB
RODERICK|ROD
RODNEY|ROD
ROGER|ROG
LEROY|ROI
MYRON|RON
RONALD|RON
ROSALYN|ROS
LEROY|ROY
ROYCE|ROY
RODERICK|RUY
SALLY|SAL
SAMANTHA|SAM
SAMUEL|SAM
SANDRA|SAN
SYBIL|SIB
SIGMUND|SIG
SIMON|SIM
SYLVESTER|SLY
SOLOMON|SOL
STEWART|STU
SUSAN|SUE
SUSANA|SUE
SUSANNA|SUE
SUSANNAH|SUE
SUZANNA|SUE
SUZETTE|SUE
SUSAN|SUS
SUSANA|SUS
SUSANNA|SUS
SUSANNAH|SUS
SUSAN|SUZ
SUZANNA|SUZ
SUZETTE|SUZ
SYDNEY|SYD
SYLVESTER|SYL
SYLVIA|SYL
THADDEUS|TAD
EDWARD|TED
EDWIN|TED
THEODORE|TED
MATHEW|TEO
MATTHEW|TEO
TIMOTHY|TIM
THOMAS|TOM
TOMAS|TOM
TOMI|TOM
TOMIE|TOM
TOMMASO|TOM
TOMMI|TOM
TOMMIE|TOM
TOMMY|TOM
TOMOTHY|TOM
TOMYE|TOM
TY|TYE
VALENTINE|VAL
VALERIE|VAL
VANESSA|VAN
VASILIS|VAS
VICTOR|VIC
VINCENT|VIN
VIVIAN|VIV
WALTER|WAT
WAYLON|WAY
WESLEY|WES
WILL|WIL
WILLI|WIL
WILLIAM|WIL
WILLIE|WIL
WILLY|WIL
SHERWIN|WIN
WINIFRED|WIN
WINSTON|WIN
WYATT|WYE
ALEXANDER|XAN
YANCY|YAN
JORDAN|GEORDIE
GEORGE|GEORGIE
GEORGIA|GEORGIE
STEFAN|STEFFEL
STEPHAN|STEFFEL
STEPHEN|STEFFEL
STEPHANIE|STEFFEY
SAUL|SOLLY
MASON|SONNY
SOPHIA|SOPHY
CHRISTINA|CHRISSIE
CHRISTINA|CHRISTEE
CHRISTINE|CHRISTEE
CHRISTINA|CHRISTEY
CHRISTINE|CHRISTEY
CHRISTINA|CHRISTIE
CHRISTINE|CHRISTIE
CHRISTOPHER|CHRISTOS
KATHERINE|KATEENA
KATHERINE|KATEERA
RINEHART|RHINEHART
MCCASKILL|MACASKILL
MARGARET|GHITA
STEFAN|STEPOUSEK
STEPHAN|STEPOUSEK
STEPHEN|STEPOUSEK
STEVEN|STEPOUSEK
TERESA|THERESA
THERESA|THERESE
TERRES|THERRES
GILDA|GILDI
GILDA|GILDY
JILLIAN|GILLA
JILLIAN|GILLI
JILLIAN|GILLY
VIRGINIA|GINIA
JENNIFER|GINNY
VIRGINIA|GINNY
SCOTT|SKOTTI
BRIDGET|GITTA
KATHERINE|KATHERI
KATHERINE|KATHIEE
KATHLEEN|KATHIEE
KATHLEEN|KATHLEE
MCCUSKER|MCKUSKER
STEFAN|STEEF
STEPHAN|STEEF
STEPHEN|STEEF
STEVEN|STEEF
STEFAN|STENY
STEFAN|STEPA
STEPHAN|STEPA
STEPHEN|STEPA
STEVEN|STEPA
STEFAN|STEPH
STEPHAN|STEPH
STEPHEN|STEPH
STEVEN|STEPH
STEFAN|STEVE
STEPHAN|STEVE
STEPHEN|STEVE
STEVEN|STEVE
STEFAN|STEVO
STEPHAN|STEVO
STEPHEN|STEVO
STEVEN|STEVO
GLADYS|GLADY
GLENNA|GLENN
GLORIA|GLORI
TABITHA|TABBY
TAMARA|TAMMA
TANNER|TANNY
TANIA|TANYA
ANASTASIA|TASIA
TATIANA|TATIA
TATIANA|TATIE
MCULLON|MCCULLON
SULLIVAN|SULLY
SUSAN|SUSIE
SUSANA|SUSIE
SUSANNA|SUSIE
SUSANNAH|SUSIE
SUSAN|SUSSI
SUSANA|SUSSI
SUSANNA|SUSSI
SUSANNAH|SUSSI
SUZETTE|SUSSI
SUSAN|SUSSY
SUSANA|SUSSY
SUSANNA|SUSSY
SUSANNAH|SUSSY
SUZETTE|SUSSY
SUSAN|SUZEE
SUZANNA|SUZEE
SUZETTE|SUZEE
SUSAN|SUZIE
SUZANNA|SUZIE
SUZETTE|SUZIE
MCUMBER|MCCUMBER
SHOEMAKER|SCHOEMAKER
RAPPLEY|RAPPLEYE
SHOWALTER|SCHOWALTER
GOLDA|GOLDI
GOLDA|GOLDY
GORDON|GORDO
GORDON|GORDY
EDWARD|TEDDY
EDWIN|TEDDY
THEODORA|TEDDY
THEODORE|TEDDY
TERESA|TERIS
TERESA|TERRI
TERRENCE|TERRI
THERESA|TERRI
TERESA|TERRY
THERESA|TERRY
THERESA|TESSA
STEVEN|STEPHEN
STEPHANIE|STEPHIE
GRACE|GRACI
GRACE|GRACY
MARGARET|GREET
GREGORY|GREGG
GREGORY|GREIG
MARGARET|GRETA
MARGARET|GRETE
GREY|GREYE
GREGORY|GRIEG
MARGARET|GRIET
GRIFFIN|GRIFF
GRIFFITH|GRIFF
TAUT|THAUT
TEEL|THEEL
TEIM|THEIM
TIEL|THIEL
TOMA|THOMA
TOME|THOME
THOMAS|THOMI
TOMS|THOMS
TYNE|THYNE
PATRICK|TICHO
TIFFANY|TIFFY
THEODORA|TILLY
TIMOTHY|TIMMI
TIMOTHY|TIMMY
TIMOTHY|TIMOT
HANNAH|HANNA
HANNAH|HANNE
HANNAH|HANNH
HANNAH|HANNI
HANNAH|HANNY
HAROLD|HARRI
HARRIET|HARRI
HAROLD|HARRY
HARRISON|HARRY
HENRY|HARRY
HENRIETTA|HATTY
FLORENCE|FLORRIE
AUGUSTA|GUSTA
GUSTAV|GUSTY
FLORENCE|FLOSSIE
KATHERINE|KATTERY
TOMISIN|THOMISON
HERBERT|HEBER
HELEN|HELIA
HELEN|HELLA
HELEN|HELLE
HENRIETTA|HENIA
HENRIETTA|HENKA
HENRIETTA|HENNA
HENRIETTA|HENNY
HARRISON|HENRY
HENRIETTA|HENYA
MICHELLE|SHELLEY
MICHELLE|SHELLYE
HERBERT|HERBE
HERBERT|HERBI
HERBERT|HERBY
HENRIETTA|HETTA
HENRIETTA|HETTI
ESTHER|HETTY
HENRIETTA|HETTY
SRADER|SHRADER
CHRISTOPHER|TOBAL
TOBIAS|TOBIE
TIMOTHY|TOMEK
THOMAS|TOMIE
THOMAS|TOMME
THOMAS|TOMMI
TOMAS|TOMMI
THOMAS|TOMMY
TOMAS|TOMMY
ANTHONY|TONEY
ANTONIA|TONIA
ANTOINETTE|TONIE
ANTONIA|TONIE
ANTONIO|TONIO
ANTOINETTE|TONNI
TONIA|TONYA
TORRENCE|TOREN
VICTORIA|TORIA
TORRENCE|TORIN
TORRENCE|TORRY
JOHN|JOHHNIE
GLADYS|GLADIE
KATHERINE|KATYANA
MARGARET|GREETJE
MCEWEN|MCKEWEN
BRUNHILDA|HILDA
HILDEGARDE|HILDA
HILDA|HILDE
HILDA|HILDI
HILDA|HILDY
TRACY|TRACE
TRENTON|TRENT
BEATRICE|TRICE
KATHERINE|TRINA
KATHERINE|TRINE
PATRICIA|TRISH
TRISHA|TRISH
GERTRUDE|TRUDI
GERTRUDE|TRUDY
TOMPSON|THOMPSON
SHERMAN|SHERMIE
CHERYL|SHERRIE
SHARON|SHERRIE
CLAUDIA|CLAUDI
CHRISTINA|KRISTIE
KRISTINA|KRISTIE
KRISTINE|KRISTIE
JOHNA|JOHNNAE
JOHNA|JOHNNAY
JOHN|JOHNNEY
JOHN|JOHNNIE
JOHN|JOHNNNY
JOHN|JOHNNYE
HONORA|HONEY
HOWARD|HOWIE
CLEVELAND|CLEAVE
CLEVELAND|CLEVEY
CLEVELAND|CLEVIE
CLEVELAND|CLEVON
SUSAN|SUSETTE
REAUME|RHEAUME
REAVES|RHEAVES
SARA|SARETTA
SARAH|SARETTA
SARA|SARETTE
SARAH|SARETTE
TIMOTHY|TYMEK
TIMOTHY|TYMON
ALEXANDRA|ALEAHA
ALICE|ELISIE
ALICIA|ELISIE
ALEXANDRA|ALEJAN
ALEXANDER|ALEJOS
ALEXANDER|ALEXEI
ALEXANDER|ALEXEY
ALEXANDRIA|ALEXIA
ALEXIS|ALEXIA
ALEXANDRA|ALEXIE
ALEXIS|ALEXIE
ALEXANDRA|ALEXZA
ALEXANDRA|ALEYAH
MCCOWEN|MCKOWEN
CLIFFORD|CLIFFE
HUBERT|HUBIE
HERBERT|HUGHY
GLORIA|GLORIE
FLORENCE|FLOREE
FLORENCE|FLORIE
SMITH|SMITTY
GLENN|GLENNIE
ALEXANDER|ALLEIK
FRED|FREADIE
LYNDA|LYNDEE
LYNDA|LYNDIE
LINDSAY|LYNDYE
LINDSEY|LYNDYE
LYNDA|LYNDYE
KIMBERLY|KYMBER
LYNDA|LYNNDE
LYNN|LYNNEE
LYNNE|LYNNEE
LYNN|LYNNIE
LYNNE|LYNNIE
WILLIAM|BILLAAL
CALYPSO|LYPSIE
FREDERICK|FREDDIE
ALEXANDER|ZANDER
WALLACE|WALLEY
WALKER|WALLIE
WALLACE|WALLIE
WALTER|WALLIE
ALEXANDER|XANDER
VALERIE|VALLIE
MCCALL|MACALL
MCCRAE|MACRAE
MCCRUM|MACRUM
KATHERINE|KAATJE
VALERIE|VALLI
VANESSA|VANNA
VANESSA|VANNI
VANESSA|VANNY
MADELINE|MADDIE
AMANDA|AMANIE
AMANDA|AMANNI
VANCE|VANCIE
VANESSA|VANNIE
SALOME|SALLIE
JACQUELINE|JACCIE
JACQUELINE|JACKEE
JACQUELINE|JACKEY
JACK|JACKIE
JACOB|JACKIE
JACQUELINE|JACKIE
JACQUELYN|JACKIE
JACQUELINE|JACKKI
JACQUELINE|JACKYE
JACQUELINE|JACQUE
JACQUELINE|JACQUI
CONSTANCE|CONSTANC
CONSTANTINE|CONSTANT
TANNER|TANNIE
SAMANTHA|SAMMIE
SAMUEL|SAMMIE
MARGARET|MAGGIE
MARGARET|MAGHEE
KATHERINE|KAETHE
CYNTHIA|CYNDEE
CYNTHIA|CYNDEY
CYNTHIA|CYNDIE
CYNTHIA|CYNTHY
BEVERLY|VERLY
VERNON|VERNE
VERONICA|VERON
SANDRA|SANDEE
ALEXANDRA|SANDIE
SANDRA|SANDIE
SANDRA|SANDRY
SANDRA|SANDYE
WARNER|WARNIE
SANDRA|SANNDY
NANCI|NAINSI
GABRIELLA|GABBIE
ALYSA|ALYSSE
MCCUMBER|MACUMBER
PAMELA|PAMMIE
ADELAIDE|LAIDEY
ELAINE|LAINEY
ELAINE|LAINIE
KATHERINE|KAHTIA
BRADLEY|BRADDIE
ISABELLA|ISSIE
KATHERINE|KAITHI
ROSE|ROSALIE
CLAUDIA|CLAUDIE
VICTORIA|VICKI
VICTORIA|VICKY
VINCENT|VINCE
VIVIAN|VIVEE
SARA|SARIKA
SARAH|SARIKA
JACQUELINE|JACCI
JACQUELINE|JACKE
JACQUELINE|JACKI
JACQUELINE|JACKY
JACQUELYN|JACKY
JACQUELINE|JACQU
MARIA|MALITA
MALLORY|MALLEY
LINDA|MALLIE
MALLORY|MALLIE
JANE|JAINY
JACOB|JAKEE
JACOB|JAKEY
JACOB|JAKIE
BENJAMIN|JAMEY
JAMES|JAMEY
BENJAMIN|JAMIE
JAMES|JAMIE
JAMES|JAMMY
JAMES|JAMYE
ALEXANDER|JANDO
JANE|JANEE
JANE|JANEY
JANE|JANIE
JANICE|JANIE
JANET|JANNA
JANET|JANNI
JANET|JANNY
JANICE|JANYE
JACQUELINE|JAQUI
JASMINE|JASME
JASMINE|JASMI
JASMINE|JASSY
JANE|JAYNI
JASMINE|JAZMI
JASMINE|JAZZY
CHARDONNAY|CHARDAE
CHARDONNAY|CHARDON
CHARLENE|CHARLAE
CHARLENE|CHARLAY
CHARLENE|CHARLEE
CHARLENE|CHARLEI
CHARLENE|CHARLEY
CHARLES|CHARLEY
CHARLES|CHARLIE
CHARLOTTE|CHARLIE
CHARLES|CHARLYE
CHARLOTTE|CHARRIE
NANCI|NANEKI
ANNETTE|NANNIE
NAN|NANNIE
NANCI|NANNIE
NANCIE|NANNIE
NANCY|NANNIE
NANNETTE|NANNIE
MARGARET|MAMMIE
BARBARA|BABSIE
CHASITY|CHASSIE
AMANDA|MANDIE
EMANUEL|MANNIE
MANUEL|MANNIE
KATHERINE|KASIENKA
SANDRA|SAUNDI
LAWRENCE|LANNIE
CALANDRA|CAELAN
CAITLIN|CAELEY
JEAN|JEANE
JEANETTE|JEANE
JEAN|JEANI
JEAN|JEANY
JEFFREY|JEFFE
JEFFREY|JEFFI
JEFFREY|JEFFY
JEMIMA|JEMMA
JEMIMA|JEMMY
JENNIFER|JENEY
JENNIFER|JENIA
JENNIFER|JENIE
JENNIFER|JENNA
JENNIFER|JENNE
JENNIFER|JENNI
GENEVIEVE|JENNY
JENNIFER|JENNY
JAMES|JAMMIE
GERALDINE|JEREE
GERALDINE|JERRI
GERALD|JERRY
GERALDINE|JERRY
JEREMY|JERRY
JEROLD|JERRY
JEROME|JERRY
JESSICA|JESIE
JESSICA|JESSA
JESSICA|JESSE
JESSICA|JESSI
JESSE|JESSY
JESSICA|JESSY
JEVETTE|JETTA
JEZEBEL|JEZEL
PATRICIA|PATERY
PATRICIA|PATSEY
PATRICIA|PATSIE
PATRICIA|PATSYE
PATRICE|PATTIE
PATRICIA|PATTIE
PATRICIA|PATTYE
JANET|JANNEY
JANET|JANNIE
JANICE|JANNIE
VERONICA|VONNI
VERONICA|VONNY
PAUL|PAULIE
PAULETTE|PAULIE
PAUL|PAULLY
MARGARET|MARGAY
MARGARET|MARGEE
MARGARETA|MARGEE
MARGARETTE|MARGEE
MARGARITA|MARGEE
MARGARITE|MARGEE
MARGHERITA|MARGEE
MARGUERITA|MARGEE
MARGUERITE|MARGEE
MARGARETA|MARGEY
MARGARETTE|MARGEY
MARGARITA|MARGEY
MARGARITE|MARGEY
MARGHERITA|MARGEY
MARGUERITA|MARGEY
MARGUERITE|MARGEY
MARGARETA|MARGGY
MARGARETTA|MARGGY
MARGARETTE|MARGGY
MARGARITA|MARGGY
MARGARITE|MARGGY
MARGHERITA|MARGGY
MARGUERITA|MARGGY
MARGUERITE|MARGGY
MARGARET|MARGIA
MARGARET|MARGIE
MARGUERITE|MARGIE
MARJORIE|MARGIE
MARJORY|MARGIE
MARGARET|MARGOS
MARGARET|MARGOT
MARGARET|MARGUI
MARIA|MARICA
MARGARET|MARJIA
MARGARET|MARJIE
MARJORIE|MARJIE
MARGARET|MARJOR
MARJORIE|MARJOR
MARJORY|MARJOR
MARK|MARKEE
MARK|MARKEI
MARK|MARKEY
MARK|MARKIE
MARLENE|MARLEE
MARLENE|MARLEY
MARSH|MARSCH
MARTHA|MARTIE
MARTIN|MARTIE
JONATHAN|NATHAN
NATHANIEL|NATHAN
NATALIE|NATTIE
LAWRENCE|LARREY
LAWRENCE|LARRIE
LAWRENCE|LARRRY
RAPHAEL|FALITO
HANNAH|HANNEY
HANNAH|HANNIE
CALANDRA|CAILAN
GERTRUDE|GERTHIE
RAYMOND|RAYMEY
RAYMOND|RAYMIE
MATHEW|MATHER
MATTHEW|MATHER
MATHEW|MATHES
MATTHEW|MATHES
KAREN|KARINY
KARIN|KARINY
KARYN|KARINY
JILL|JILLY
JILLIAN|JILLY
JAMES|JIMBO
JAMES|JIMIE
JAMES|JIMME
JAMES|JIMMI
JAMES|JIMMY
JAMES|JIMYE
VIRGINIA|JINNY
MATHEW|MATTHE
MATTHEW|MATTHE
MATHEW|MATTIA
MATHEW|MATTIE
MATHILDA|MATTIE
MATILDA|MATTIE
MATTHEW|MATTIE
KAREN|KARRIE
KARIN|KARRIE
KARYN|KARRIE
KARTY|KARTYE
JACQUELINE|JAQUIE
MARGARET|GUIDINHA
BARBARA|BAIRBE
MCLAINE|MCCLAINE
MACLAREN|MCCLAREN
MCLAREN|MCCLAREN
MCLARTY|MCCLARTY
MAUREEN|MAURIE
KASSANDRA|KASSIE
KATHERINE|KASSIE
FRANCINE|FANNIE
FRANCIS|FANNIE
MCALISTER|MCCALISTER
KATHERINE|KATAYA
KATHERINE|KATHEE
KATHLEEN|KATHEL
KATHERINE|KATHER
KATHERINE|KATHEY
KATHLEEN|KATHEY
KATHERINE|KATHIA
KATHERINE|KATHIE
KATHLEEN|KATHIE
KATHLEEN|KATHLE
KATHERINE|KATHRY
KATHERINE|KATHYE
KATHERINE|KATICA
JASMINE|JASMEA
JASMINE|JASMIE
LAURENCE|LAUREN
LAWRENCE|LAURIE
KATHERINE|KATRIA
KATHERINE|KATTIA
KATHERINE|KATTIE
KATHLEEN|KATTIE
KATHERINE|CALINA
CALLISTA|CALLIE
COLLEEN|CALLIE
WADE|WADIE
CAMBRIA|CAMBIE
HAROLD|HARRIE
HARRIET|HARRIE
HARRISON|HARRIS
WALDO|WALDY
WALKER|WALLY
WALLACE|WALLY
WALTER|WALLY
DANIEL|DANNEY
DANIEL|DANNIE
DANIELLE|DANNIE
DANIEL|DANNNY
DANIEL|DANNYE
AGATHA|AAGE
AARON|AARY
ABIGAIL|ABBY
ATALANTA|ADDI
ADAM|ADDY
ADELINE|ADDY
ADRIAN|ADRI
AGATHA|AGGE
AGATHA|AGIE
AGNES|AGNI
EILEEN|AILI
EILEEN|AILY
ALEXANDER|ALAC
ALEXANDER|ALAX
ALEXANDRA|ALEA
ALEXANDER|ALEC
ALEXANDRA|ALEI
ALEXANDER|ALEK
ALEXANDER|ALES
ALEXA|ALEX
ALEXANDER|ALEX
ALEXANDRA|ALEX
ALEXIS|ALEX
ADELAIDE|ALEY
ALEXANDRA|ALEY
ALEXANDER|ALEZ
ALFRED|ALFY
ALEXANDER|ALIC
ALICE|ALIE
ALICIA|ALII
ALEXANDER|ALIX
ALICE|ALLE
ALEXIS|ALLI
ALICE|ALLI
ALICIA|ALLI
ALLISON|ALLI
ALEXIS|ALLY
ALICE|ALLY
ALICIA|ALLY
ALLISON|ALLY
ALVIN|ALVI
ALVIN|ALVY
ALYSA|ALYS
ALEXANDRA|ALYX
AMBER|AMBY
AMY|AMEY
AMY|AMIE
AMY|AMME
AMY|AMMI
ANDREW|ANDE
ANDREA|ANDI
ANDREW|ANDI
ANDRE|ANDY
ANDREA|ANDY
ANDREW|ANDY
ANGELA|ANGE
ANGELA|ANGI
ANGELA|ANGY
ANITA|ANIT
HANNAH|ANNA
SUSANA|ANNA
SUSANNA|ANNA
SUSANNAH|ANNA
SUZANNA|ANNA
ANN|ANNI
ANN|ANNY
ANNABELLE|ANNY
ANNETTE|ANNY
BRITTANY|ANNY
ANTHONY|ANTH
APRIL|APRI
ARCHIBALD|ARCH
ARDEN|ARDI
ARDITH|ARDI
ARLENE|ARLA
ARLENE|ARLE
ARLAND|ARLY
ARLENE|ARLY
ARNOLD|ARNE
ARNOLD|ARNY
AARON|ARRI
ARTIS|ARTI
ARTHUR|ARTY
ASTRA|ASTA
ASTRID|ATTI
ATALANTA|ATTI
AUSTIN|AUST
EVELYN|AVIA
EVELYN|AVIE
ASIA|AZIE
MAXINE|MAXEEN
CANDIDA|CANDIA
GERALD|GARRIE
BARBARA|BABB
BABY|BABE
BARBARA|BABS
BARBARA|BARB
BARRY|BARR
BERNARD|BEAR
BARBARA|BEBE
BEATRICE|BEBE
REBECCA|BEKI
BELICIA|BELI
ANNABELLE|BELL
BELLA|BELL
WILLIAM|BELL
BENJAMIN|BENG
BENJAMIN|BENI
BENJAMIN|BENJ
BENJAMIN|BENN
BERNADETTE|BERA
BERNARD|BERN
ALBERT|BERT
BERTON|BERT
BERTRAM|BERT
DELBERT|BERT
